date,volume,turnover,open,open,high,lable,low,close
2021/8/16 9:00,20236,365598865,469108,18035,18115,18035,18035,18080
2021/8/16 9:10,8937,161044740,469363,18085,18100,18050,18050,18080
2021/8/16 9:20,5614,102284360,469631,18075,18095,18070,18070,18085
2021/8/16 9:30,8026,144668650,470503,18090,18110,18080,18080,18085
2021/8/16 9:40,7915,142667875,469829,18085,18090,18055,18055,18075
2021/8/16 9:50,9166,166462765,470368,18070,18125,18055,18055,18125
2021/8/16 10:00,9752,175828560,471914,18120,18130,18090,18090,18120
2021/8/16 10:10,6132,111884995,472584,18120,18140,18080,18080,18080
2021/8/16 10:31,4847,87415645,472208,18080,18125,18080,18080,18110
2021/8/16 10:40,11984,217540630,474563,18110,18170,18110,18110,18165
2021/8/16 10:50,9535,173468265,473514,18160,18160,18110,18110,18120
2021/8/16 11:00,7817,141057765,472553,18120,18120,18090,18090,18105
2021/8/16 11:10,7666,138332970,472768,18100,18125,18080,18080,18115
2021/8/16 11:20,4506,81310770,473051,18115,18145,18110,18110,18120
2021/8/16 13:30,6664,121842010,473670,18145,18160,18125,18125,18145
2021/8/16 13:40,12165,221229205,475781,18145,18185,18145,18145,18170
2021/8/16 13:50,9213,166340715,474766,18170,18175,18135,18135,18165
2021/8/16 14:00,8938,163117300,475959,18165,18185,18160,18160,18165
2021/8/16 14:10,3546,64040760,475623,18170,18170,18145,18145,18150
2021/8/16 14:20,2774,50098440,475473,18145,18160,18145,18145,18150
2021/8/16 14:30,7052,129167690,476974,18150,18185,18145,18145,18175
2021/8/16 14:40,11730,211902450,474230,18180,18185,18120,18120,18125
2021/8/16 14:50,9018,164822480,472014,18125,18155,18120,18120,18145
2021/8/16 20:55,1987,35954765,472822,18145,18145,18095,18095,18095
2021/8/16 21:00,17241,312648875,471944,18115,18160,18110,18110,18125
2021/8/16 21:10,10445,189219485,472995,18125,18130,18090,18090,18105
2021/8/16 21:20,7941,143742555,473123,18105,18115,18080,18080,18100
2021/8/16 21:30,13706,247650430,472253,18100,18105,18050,18050,18060
2021/8/16 21:40,9639,174209300,472481,18060,18095,18045,18045,18075
2021/8/16 21:50,6630,119665055,471923,18075,18075,18045,18045,18055
2021/8/16 22:00,6275,113546125,471865,18055,18095,18055,18055,18080
2021/8/16 22:10,8252,149319940,473329,18080,18130,18080,18080,18095
